"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","104","106","7","0"
"05-09","100","96","1","0"
"10-14","143","140","5","0"
"15-19","291","262","6","0"
"20-24","444","414","12","0"
"25-29","436","377","21","0"
"30-34","363","419","19","0"
"35-39","348","357","25","0"
"40-44","380","272","20","0"
"45-49","412","282","28","1"
"50-54","447","406","35","1"
"55-59","412","368","52","1"
"60-64","286","280","58","5"
"65-69","166","188","62","5"
"70-74","184","215","98","17"
"75-79","239","204","122","34"
"80-84","439","277","211","62"
"85-89","397","170","140","56"
"90+","407","113","100","67"

"Datenstand 31.01.2021 20:38:40"
