"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","369","394","18","1"
"05-09","380","484","6","0"
"10-14","437","519","12","0"
"15-19","714","754","22","0"
"20-24","1.033","1.044","36","0"
"25-29","986","959","50","0"
"30-34","937","1.047","53","1"
"35-39","831","931","73","0"
"40-44","944","812","69","0"
"45-49","889","784","78","2"
"50-54","1.003","1.030","108","3"
"55-59","974","955","130","12"
"60-64","601","684","131","17"
"65-69","345","407","142","30"
"70-74","370","373","200","57"
"75-79","414","379","248","91"
"80-84","703","447","404","187"
"85-89","593","280","266","174"
"90+","630","176","182","181"

"Datenstand 03.04.2021 19:45:03"
