"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","342,89","1.078","+34","152","+1","47",""
"Stormarn","OD","323,61","787","+3","62","+1","35",""
"Segeberg","SE","233,67","645","+22","53","","7",""
"Kiel","KI","220,56","546","+16","83","","12",""
"Rendsburg-Eckernförde","RD","162,77","444","+8","59","+2","14",""
"Herzogtum Lauenburg","RZ","221,53","437","+13","53","","18",""
"Lübeck","HL","179,10","389","+9","16","","1",""
"Dithmarschen","HEI","234,97","313","+7","48","+1","5",""
"Steinburg","IZ","196,43","258","+2","27","","3",""
"Schleswig-Flensburg","SL","123,48","247","+6","22","","5",""
"Ostholstein","OH","118,16","237","+13","20","","0",""
"Neumünster","NMS","288,10","229","+9","15","+1","3",""
"Plön","PLO","146,14","188","+5","39","+2","8",""
"Nordfriesland","NF","112,99","187","+11","22","+1","2",""
"Flensburg","FL","182,11","163","+2","9","","3",""
"-"
"Schleswig-Holstein","SH","212,24","6.148","+160","680","+9","163",""

"Datenstand 21.10.2020 22:11:30"
