"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","907,15","2.852","+17","294","+2","145","+3"
"Lübeck","HL","721,46","1.567","+23","184","+3","45",""
"Segeberg","SE","519,87","1.435","+18","72","+1","63","+3"
"Stormarn","OD","533,31","1.297","+27","147","+4","50","+4"
"Herzogtum Lauenburg","RZ","576,38","1.137","+25","77","+5","32",""
"Nordfriesland","NF","603,60","999","+6","147","+1","35","+1"
"Ostholstein","OH","477,61","958","+13","152","+1","40",""
"Kiel","KI","375,68","930","+15","103","","33",""
"Flensburg","FL","1.001,07","896","+29","44","+1","18","+1"
"Schleswig-Flensburg","SL","438,95","878","+13","45","+1","15",""
"Rendsburg-Eckernförde","RD","290,72","793","+37","87","+1","15","+1"
"Steinburg","IZ","342,60","450","+6","26","","3",""
"Neumünster","NMS","503,23","400","","38","","6",""
"Dithmarschen","HEI","253,73","338","+3","21","+3","7",""
"Plön","PLO","202,88","261","+1","51","","8",""
"-"
"Schleswig-Holstein","SH","524,42","15.191","+233","1.488","+23","515","+13"

"Datenstand 17.02.2021 20:31:09"
