"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.055,37","3.318","+23","355","+5","176",""
"Segeberg","SE","723,83","1.998","+28","82","+1","64",""
"Lübeck","HL","851,76","1.850","+15","208","+1","64",""
"Stormarn","OD","739,32","1.798","+25","211","","95","+2"
"Herzogtum Lauenburg","RZ","801,97","1.582","+33","143","+1","58",""
"Kiel","KI","527,17","1.305","+22","121","+1","40",""
"Schleswig-Flensburg","SL","647,42","1.295","+23","58","","20",""
"Flensburg","FL","1.418,93","1.270","+2","75","+1","24",""
"Nordfriesland","NF","723,84","1.198","+5","169","+2","43","+1"
"Ostholstein","OH","594,77","1.193","+14","167","","55",""
"Rendsburg-Eckernförde","RD","423,43","1.155","+6","112","","21",""
"Steinburg","IZ","444,62","584","+14","47","","7",""
"Neumünster","NMS","699,49","556","+10","49","+1","7",""
"Dithmarschen","HEI","299,53","399","+7","38","+1","7",""
"Plön","PLO","299,27","385","+7","63","+3","12",""
"-"
"Schleswig-Holstein","SH","686,50","19.886","+234","1.898","+17","693","+3"

"Datenstand 12.03.2021 20:43:37"
