"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.604,22","5.071","+71","483","+4","194","+1"
"Segeberg","SE","1.310,00","3.631","+35","143","+3","84","+1"
"Stormarn","OD","1.204,97","2.942","","282","","110",""
"Herzogtum Lauenburg","RZ","1.386,74","2.746","+35","184","+1","67",""
"Lübeck","HL","1.199,83","2.598","+20","241","+1","67",""
"Kiel","KI","891,84","2.201","+27","192","+2","49","+1"
"Rendsburg-Eckernförde","RD","693,55","1.901","+30","160","+4","26",""
"Ostholstein","OH","882,62","1.770","+25","202","+1","61",""
"Schleswig-Flensburg","SL","862,02","1.734","+20","72","","24",""
"Flensburg","FL","1.831,11","1.651","+13","104","","29",""
"Nordfriesland","NF","896,05","1.487","+8","195","","49",""
"Steinburg","IZ","873,20","1.144","+21","84","+2","11",""
"Neumünster","NMS","1.129,73","906","+3","70","+1","8",""
"Dithmarschen","HEI","586,37","781","+24","64","","9",""
"Plön","PLO","475,58","612","+11","80","+1","14",""
"-"
"Schleswig-Holstein","SH","1.073,60","31.175","+343","2.556","+20","802","+3"

"Datenstand 21.04.2021 18:35:12"
