"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","785","768","43","1"
"05-09","993","1.045","21","0"
"10-14","1.083","1.266","23","0"
"15-19","1.485","1.542","42","0"
"20-24","1.794","1.853","90","0"
"25-29","1.616","1.645","101","0"
"30-34","1.573","1.734","122","2"
"35-39","1.515","1.563","142","2"
"40-44","1.554","1.415","157","1"
"45-49","1.442","1.324","161","3"
"50-54","1.543","1.630","211","15"
"55-59","1.459","1.499","258","22"
"60-64","905","1.039","247","25"
"65-69","516","595","234","42"
"70-74","507","514","296","75"
"75-79","531","479","362","121"
"80-84","819","534","511","224"
"85-89","652","320","341","198"
"90+","689","195","238","214"

"Datenstand 12.08.2021 19:25:09"
