"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","825","813","44","1"
"05-09","1.090","1.150","25","0"
"10-14","1.213","1.413","27","0"
"15-19","1.583","1.630","45","0"
"20-24","1.887","1.946","95","0"
"25-29","1.717","1.728","106","0"
"30-34","1.647","1.801","129","2"
"35-39","1.581","1.624","147","2"
"40-44","1.615","1.467","163","1"
"45-49","1.490","1.377","164","3"
"50-54","1.597","1.677","221","15"
"55-59","1.485","1.531","262","23"
"60-64","918","1.066","251","25"
"65-69","526","611","239","42"
"70-74","516","521","298","75"
"75-79","536","485","367","121"
"80-84","823","539","514","224"
"85-89","658","323","345","198"
"90+","692","199","242","215"

"Datenstand 21.08.2021 21:01:20"
