"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","108","111","9","0"
"05-09","148","139","4","0"
"10-14","194","174","5","0"
"15-19","315","307","9","0"
"20-24","414","499","17","0"
"25-29","406","471","27","0"
"30-34","390","402","33","0"
"35-39","358","339","20","2"
"40-44","334","335","23","1"
"45-49","346","357","40","3"
"50-54","439","434","40","0"
"55-59","397","440","69","6"
"60-64","258","271","60","8"
"65-69","141","164","66","10"
"70-74","150","131","72","23"
"75-79","163","129","112","31"
"80-84","189","161","141","48"
"85-89","117","59","73","32"
"90+","108","36","47","37"

"Datenstand 08.11.2020 20:05:26"
