"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","751","744","42","1"
"05-09","935","987","20","0"
"10-14","1.003","1.172","23","0"
"15-19","1.426","1.479","41","0"
"20-24","1.734","1.786","88","0"
"25-29","1.580","1.612","97","0"
"30-34","1.527","1.694","120","2"
"35-39","1.467","1.515","133","2"
"40-44","1.500","1.369","152","1"
"45-49","1.412","1.286","157","3"
"50-54","1.523","1.599","207","15"
"55-59","1.446","1.471","252","22"
"60-64","892","1.024","244","25"
"65-69","508","591","231","42"
"70-74","506","508","294","75"
"75-79","528","473","357","121"
"80-84","817","534","511","224"
"85-89","651","318","339","198"
"90+","688","195","238","212"

"Datenstand 06.08.2021 18:47:21"
