"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","47","54","6","0"
"05-09","55","56","3","0"
"10-14","75","75","4","0"
"15-19","138","119","5","0"
"20-24","217","228","9","0"
"25-29","221","226","18","0"
"30-34","188","196","18","0"
"35-39","174","155","10","0"
"40-44","169","159","18","0"
"45-49","162","182","25","3"
"50-54","241","229","29","0"
"55-59","210","230","49","6"
"60-64","132","133","44","8"
"65-69","86","94","51","10"
"70-74","80","76","51","18"
"75-79","112","84","92","27"
"80-84","111","102","107","37"
"85-89","76","37","53","26"
"90+","73","24","29","27"

"Datenstand 06.10.2020 20:23:03"
