"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.940,19","6.133","+1","644","+1","221",""
"Segeberg","SE","1.544,51","4.281","","316","+4","93",""
"Stormarn","OD","1.567,85","3.828","","352","+1","127","+2"
"Herzogtum Lauenburg","RZ","1.722,06","3.410","+1","252","+1","72",""
"Lübeck","HL","1.457,53","3.156","+3","260","","74",""
"Kiel","KI","1.260,57","3.111","-2","262","","55",""
"Rendsburg-Eckernförde","RD","879,25","2.410","","204","","35",""
"Ostholstein","OH","1.119,98","2.246","","237","","67",""
"Schleswig-Flensburg","SL","984,81","1.981","-1","87","","30",""
"Nordfriesland","NF","1.084,66","1.800","+1","209","","54",""
"Flensburg","FL","1.960,87","1.768","","110","+1","29",""
"Steinburg","IZ","1.144,16","1.499","+1","139","","19",""
"Neumünster","NMS","1.427,75","1.145","","86","","9",""
"Dithmarschen","HEI","763,55","1.017","","90","","20",""
"Plön","PLO","627,11","807","","104","","18","+1"
"-"
"Schleswig-Holstein","SH","1.329,03","38.592","+4","3.352","+8","923","+3"

"Datenstand 14.06.2021 18:48:26"
