"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.174,02","3.691","+17","383","+3","179",""
"Segeberg","SE","853,52","2.356","+27","92","+3","71","+2"
"Stormarn","OD","836,77","2.035","+18","223","+1","102","+1"
"Lübeck","HL","912,07","1.981","+7","213","","64",""
"Herzogtum Lauenburg","RZ","895,75","1.767","+12","155","+2","62","+1"
"Kiel","KI","582,51","1.442","+9","132","-1","42",""
"Schleswig-Flensburg","SL","711,41","1.423","+8","65","","22",""
"Flensburg","FL","1.539,60","1.378","+6","87","+1","28",""
"Rendsburg-Eckernförde","RD","476,58","1.300","+10","125","+3","21",""
"Ostholstein","OH","640,14","1.284","+2","179","+2","57",""
"Nordfriesland","NF","763,11","1.263","+1","174","","44",""
"Steinburg","IZ","497,92","654","+7","49","","7",""
"Neumünster","NMS","806,42","641","+3","55","","7",""
"Dithmarschen","HEI","367,84","490","+11","40","+1","9","+2"
"Plön","PLO","327,25","421","+2","70","","12",""
"-"
"Schleswig-Holstein","SH","763,83","22.126","+140","2.042","+15","727","+6"

"Datenstand 22.03.2021 19:30:22"
