"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.930,38","6.102","+20","638","+1","221",""
"Segeberg","SE","1.537,66","4.262","+12","300","+7","93",""
"Stormarn","OD","1.559,66","3.808","+12","348","+1","124",""
"Herzogtum Lauenburg","RZ","1.716,00","3.398","+2","249","+2","72","+1"
"Lübeck","HL","1.452,92","3.146","+6","260","","74",""
"Kiel","KI","1.258,94","3.107","+7","260","+3","55",""
"Rendsburg-Eckernförde","RD","876,69","2.403","+1","203","","35",""
"Ostholstein","OH","1.115,99","2.238","+1","237","","66",""
"Schleswig-Flensburg","SL","982,82","1.977","","87","","30",""
"Nordfriesland","NF","1.079,84","1.792","+3","209","+1","54",""
"Flensburg","FL","1.960,87","1.768","","109","","29",""
"Steinburg","IZ","1.141,87","1.496","","139","","19",""
"Neumünster","NMS","1.427,75","1.145","","86","","9",""
"Dithmarschen","HEI","764,30","1.018","+2","90","","19",""
"Plön","PLO","626,33","806","","103","+2","17",""
"-"
"Schleswig-Holstein","SH","1.324,69","38.466","+66","3.318","+17","917","+1"

"Datenstand 09.06.2021 18:36:36"
