"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","733","735","41","1"
"05-09","884","932","20","0"
"10-14","916","1.092","23","0"
"15-19","1.348","1.394","40","0"
"20-24","1.684","1.740","86","0"
"25-29","1.544","1.566","96","0"
"30-34","1.486","1.666","118","2"
"35-39","1.413","1.485","132","2"
"40-44","1.458","1.331","143","1"
"45-49","1.386","1.265","156","3"
"50-54","1.498","1.583","207","14"
"55-59","1.432","1.455","246","22"
"60-64","886","1.019","242","25"
"65-69","503","581","226","42"
"70-74","502","506","294","75"
"75-79","526","473","357","121"
"80-84","814","530","509","224"
"85-89","651","318","339","198"
"90+","687","195","238","212"

"Datenstand 31.07.2021 19:31:53"
