"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","85","86","7","0"
"05-09","106","99","4","0"
"10-14","141","132","4","0"
"15-19","245","224","8","0"
"20-24","332","384","12","0"
"25-29","344","372","23","0"
"30-34","298","317","27","0"
"35-39","277","271","17","2"
"40-44","270","254","19","1"
"45-49","268","286","35","3"
"50-54","374","366","37","0"
"55-59","325","358","60","6"
"60-64","212","227","54","8"
"65-69","120","135","61","10"
"70-74","120","106","60","20"
"75-79","149","115","108","29"
"80-84","164","138","128","40"
"85-89","95","53","63","27"
"90+","102","30","41","29"

"Datenstand 30.10.2020 20:03:55"
