"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","880,75","2.769","+27","281","+5","122","+5"
"Lübeck","HL","675,88","1.468","+13","174","+6","39","+1"
"Segeberg","SE","488,71","1.349","+26","70","+7","57","+2"
"Stormarn","OD","497,54","1.210","+23","132","+1","39","+1"
"Herzogtum Lauenburg","RZ","528,73","1.043","+15","62","+1","27","+1"
"Nordfriesland","NF","577,01","955","+14","144","","31",""
"Ostholstein","OH","459,66","922","+17","145","+1","35","+2"
"Kiel","KI","351,85","871","+14","98","","29",""
"Schleswig-Flensburg","SL","390,45","781","+38","41","","15",""
"Flensburg","FL","863,65","773","+10","41","+1","17",""
"Rendsburg-Eckernförde","RD","265,42","724","+8","80","+1","13",""
"Steinburg","IZ","322,81","424","+2","26","+1","3","+1"
"Neumünster","NMS","496,94","395","+2","36","","6",""
"Dithmarschen","HEI","243,98","325","+3","16","","7",""
"Plön","PLO","198,22","255","+4","51","","7","+1"
"-"
"Schleswig-Holstein","SH","492,42","14.264","+216","1.397","+24","447","+14"

"Datenstand 12.02.2021 20:08:26"
