"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","154","165","11","0"
"05-09","210","208","5","0"
"10-14","277","255","8","0"
"15-19","451","455","13","0"
"20-24","550","646","18","0"
"25-29","550","635","35","0"
"30-34","538","539","48","0"
"35-39","509","467","32","2"
"40-44","479","453","33","1"
"45-49","496","507","56","3"
"50-54","593","605","57","0"
"55-59","525","558","88","7"
"60-64","330","366","75","10"
"65-69","190","218","78","10"
"70-74","198","166","100","25"
"75-79","208","171","141","34"
"80-84","239","181","166","61"
"85-89","138","77","85","44"
"90+","133","42","60","45"

"Datenstand 25.11.2020 21:06:06"
