"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.001,62","3.149","+10","330","+1","171",""
"Lübeck","HL","814,00","1.768","+15","200","","61",""
"Segeberg","SE","635,07","1.753","+41","77","+1","62",""
"Stormarn","OD","652,56","1.587","+21","192","+3","78",""
"Herzogtum Lauenburg","RZ","713,26","1.407","+20","125","+3","46","+1"
"Flensburg","FL","1.328,43","1.189","+13","74","","24",""
"Kiel","KI","480,31","1.189","+23","113","","37","+2"
"Schleswig-Flensburg","SL","589,43","1.179","+23","55","","17",""
"Nordfriesland","NF","692,42","1.146","+8","165","+1","40",""
"Ostholstein","OH","552,40","1.108","+11","165","","54","+1"
"Rendsburg-Eckernförde","RD","380,17","1.037","+14","102","+1","21",""
"Steinburg","IZ","408,84","537","+3","35","","6",""
"Neumünster","NMS","613,94","488","+7","46","","7",""
"Dithmarschen","HEI","283,01","377","+6","32","+1","7",""
"Plön","PLO","273,62","352","+4","58","+1","12",""
"-"
"Schleswig-Holstein","SH","630,58","18.266","+219","1.769","+12","643","+4"

"Datenstand 04.03.2021 20:23:42"
