"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","147","157","11","0"
"05-09","142","170","2","0"
"10-14","183","207","8","0"
"15-19","373","349","8","0"
"20-24","572","540","17","0"
"25-29","567","516","24","0"
"30-34","508","558","30","0"
"35-39","453","490","37","0"
"40-44","506","381","28","0"
"45-49","544","402","37","1"
"50-54","595","552","58","2"
"55-59","573","529","73","5"
"60-64","368","381","85","7"
"65-69","211","258","96","19"
"70-74","226","256","133","33"
"75-79","305","267","175","57"
"80-84","548","347","295","115"
"85-89","490","211","188","115"
"90+","527","147","136","128"

"Datenstand 15.02.2021 20:26:51"
