"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.239,86","3.898","+49","397","+5","180",""
"Segeberg","SE","929,96","2.567","+55","98","","74",""
"Stormarn","OD","900,92","2.191","+37","229","","104","+1"
"Lübeck","HL","959,03","2.083","+34","217","+2","64",""
"Herzogtum Lauenburg","RZ","964,19","1.902","+46","156","+1","64",""
"Kiel","KI","618,47","1.531","+23","144","+2","43",""
"Schleswig-Flensburg","SL","741,91","1.484","+23","66","","23",""
"Flensburg","FL","1.613,34","1.444","+24","92","","28",""
"Rendsburg-Eckernförde","RD","507,01","1.383","+17","127","+2","21",""
"Ostholstein","OH","665,57","1.335","+16","181","","58","+1"
"Nordfriesland","NF","778,21","1.288","+11","177","+1","46",""
"Steinburg","IZ","557,30","732","+22","53","+1","8","+1"
"Neumünster","NMS","855,49","680","+3","56","+1","7",""
"Dithmarschen","HEI","390,36","520","+12","43","+1","9",""
"Plön","PLO","348,24","448","+6","73","+1","12",""
"-"
"Schleswig-Holstein","SH","810,78","23.486","+378","2.109","+17","741","+3"

"Datenstand 26.03.2021 20:06:35"
