"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","126","135","10","0"
"05-09","185","166","4","0"
"10-14","239","221","7","0"
"15-19","391","387","13","0"
"20-24","479","578","17","0"
"25-29","482","553","32","0"
"30-34","465","474","44","0"
"35-39","440","414","28","2"
"40-44","409","406","28","1"
"45-49","427","441","48","3"
"50-54","522","527","49","0"
"55-59","467","513","79","6"
"60-64","304","328","70","10"
"65-69","166","189","72","10"
"70-74","175","152","90","24"
"75-79","187","155","126","33"
"80-84","213","174","155","55"
"85-89","127","69","79","39"
"90+","129","41","56","44"

"Datenstand 17.11.2020 20:47:44"
