"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","390","415","18","1"
"05-09","405","509","7","0"
"10-14","453","533","12","0"
"15-19","732","771","23","0"
"20-24","1.047","1.067","37","0"
"25-29","1.007","975","52","0"
"30-34","958","1.077","53","1"
"35-39","861","961","75","0"
"40-44","964","837","72","1"
"45-49","900","811","80","2"
"50-54","1.023","1.053","111","3"
"55-59","985","970","134","12"
"60-64","609","693","134","18"
"65-69","353","415","147","31"
"70-74","377","378","203","58"
"75-79","419","381","257","93"
"80-84","706","452","408","187"
"85-89","595","282","269","174"
"90+","634","177","186","181"

"Datenstand 06.04.2021 19:55:10"
