"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","955,50","3.004","+32","304","+3","152","+1"
"Lübeck","HL","773,95","1.681","+20","197","+3","57","+3"
"Segeberg","SE","569,50","1.572","+18","73","","62",""
"Stormarn","OD","583,89","1.420","+38","164","+3","69","+5"
"Herzogtum Lauenburg","RZ","642,79","1.268","+26","96","+5","38","+2"
"Nordfriesland","NF","647,71","1.072","+12","155","+1","36","+1"
"Flensburg","FL","1.169,78","1.047","+32","67","+7","22",""
"Ostholstein","OH","512,51","1.028","+6","163","+1","50","+1"
"Schleswig-Flensburg","SL","511,44","1.023","+27","50","","16",""
"Kiel","KI","406,79","1.007","+11","105","+1","34","+1"
"Rendsburg-Eckernförde","RD","336,54","918","+22","94","+3","19",""
"Steinburg","IZ","385,24","506","+14","29","+2","5","+2"
"Neumünster","NMS","567,39","451","+6","40","","7",""
"Dithmarschen","HEI","261,99","349","","26","","7",""
"Plön","PLO","245,63","316","+7","55","","11",""
"-"
"Schleswig-Holstein","SH","575,20","16.662","+271","1.618","+29","585","+16"

"Datenstand 24.02.2021 20:25:16"
