"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","603","611","26","1"
"05-09","681","762","12","0"
"10-14","722","882","16","0"
"15-19","1.075","1.142","29","0"
"20-24","1.407","1.448","60","0"
"25-29","1.331","1.340","71","0"
"30-34","1.289","1.458","84","1"
"35-39","1.226","1.306","99","1"
"40-44","1.284","1.185","109","1"
"45-49","1.209","1.094","121","2"
"50-54","1.349","1.406","151","6"
"55-59","1.283","1.307","189","18"
"60-64","799","902","181","20"
"65-69","457","534","185","34"
"70-74","467","466","245","67"
"75-79","502","448","316","107"
"80-84","781","509","459","200"
"85-89","630","306","293","185"
"90+","666","188","205","194"

"Datenstand 07.05.2021 18:33:10"
