"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","131","132","9","0"
"05-09","122","136","2","0"
"10-14","165","184","8","0"
"15-19","341","299","7","0"
"20-24","537","488","15","0"
"25-29","521","460","22","0"
"30-34","448","504","26","0"
"35-39","423","441","33","0"
"40-44","455","328","26","0"
"45-49","493","346","34","1"
"50-54","540","496","55","1"
"55-59","519","476","66","4"
"60-64","335","349","77","7"
"65-69","192","224","85","10"
"70-74","212","237","122","26"
"75-79","282","245","157","50"
"80-84","512","321","262","97"
"85-89","469","202","179","98"
"90+","489","137","130","108"

"Datenstand 09.02.2021 21:00:28"
