"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","72","75","7","0"
"05-09","91","84","4","0"
"10-14","118","113","4","0"
"15-19","196","188","7","0"
"20-24","289","315","10","0"
"25-29","296","319","20","0"
"30-34","265","277","24","0"
"35-39","238","235","14","1"
"40-44","231","216","19","0"
"45-49","224","247","28","3"
"50-54","322","311","36","0"
"55-59","287","319","58","6"
"60-64","191","189","53","8"
"65-69","113","125","58","10"
"70-74","108","97","57","19"
"75-79","138","105","103","29"
"80-84","143","126","119","38"
"85-89","87","47","62","26"
"90+","92","28","34","27"

"Datenstand 26.10.2020 20:05:48"
