"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.004,73","6.337","+10","668","+1","226",""
"Segeberg","SE","1.586,72","4.398","+12","366","","93",""
"Stormarn","OD","1.613,72","3.940","","358","","127",""
"Herzogtum Lauenburg","RZ","1.753,87","3.473","","258","","74",""
"Lübeck","HL","1.507,87","3.265","+5","263","","74",""
"Kiel","KI","1.305,54","3.222","","273","","58",""
"Rendsburg-Eckernförde","RD","897,85","2.461","","205","","35",""
"Ostholstein","OH","1.152,89","2.312","+9","239","","67",""
"Schleswig-Flensburg","SL","1.000,72","2.013","+3","88","","31",""
"Nordfriesland","NF","1.125,03","1.867","+16","211","","54",""
"Flensburg","FL","1.996,36","1.800","+7","111","","29",""
"Steinburg","IZ","1.157,14","1.516","","141","","20",""
"Neumünster","NMS","1.506,31","1.208","+6","91","","9",""
"Dithmarschen","HEI","782,32","1.042","+2","91","","20",""
"Plön","PLO","643,43","828","+2","108","","18",""
"-"
"Schleswig-Holstein","SH","1.366,57","39.682","+72","3.471","+1","935",""

"Datenstand 24.07.2021 19:53:10"
