"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.103,40","3.469","+55","366","+7","177",""
"Segeberg","SE","781,79","2.158","+67","87","+2","66","+1"
"Lübeck","HL","867,41","1.884","+7","210","","64",""
"Stormarn","OD","773,45","1.881","+28","217","+2","100","+1"
"Herzogtum Lauenburg","RZ","839,99","1.657","+33","149","+2","61",""
"Kiel","KI","539,69","1.336","+20","125","+1","41","+1"
"Schleswig-Flensburg","SL","667,42","1.335","+13","61","+1","21",""
"Flensburg","FL","1.458,04","1.305","+13","80","+1","25",""
"Nordfriesland","NF","743,17","1.230","+9","169","","44","+1"
"Ostholstein","OH","606,74","1.217","+13","172","+1","57","+2"
"Rendsburg-Eckernförde","RD","439,56","1.199","+24","118","+3","21",""
"Steinburg","IZ","460,61","605","+7","48","","7",""
"Neumünster","NMS","730,94","581","+25","51","+2","7",""
"Dithmarschen","HEI","318,29","424","+8","38","","7",""
"Plön","PLO","314,81","405","+10","65","","12",""
"-"
"Schleswig-Holstein","SH","714,12","20.686","+332","1.956","+22","710","+6"

"Datenstand 16.03.2021 21:06:41"
