"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","789,78","2.483","+18","238","+4","51",""
"Stormarn","OD","720,41","1.752","+8","99","+4","58","+4"
"Segeberg","SE","591,96","1.634","+11","119","+3","33",""
"Kiel","KI","507,78","1.257","+11","146","+1","16",""
"Lübeck","HL","553,87","1.203","","52","","6",""
"Herzogtum Lauenburg","RZ","531,77","1.049","+8","74","","24",""
"Rendsburg-Eckernförde","RD","346,07","944","+1","96","","17",""
"Nordfriesland","NF","404,82","670","","51","","4",""
"Dithmarschen","HEI","454,17","605","+3","69","","14",""
"Ostholstein","OH","299,63","601","+6","41","+1","3",""
"Schleswig-Flensburg","SL","259,97","520","","38","","7",""
"Neumünster","NMS","573,68","456","+3","32","","6",""
"Steinburg","IZ","334,23","439","+1","41","+1","3",""
"Plön","PLO","251,85","324","","57","","8",""
"Flensburg","FL","355,29","318","+1","17","+1","3",""
"-"
"Schleswig-Holstein","SH","492,11","14.255","+71","1.170","+15","253","+4"

"Datenstand 29.11.2020 20:27:31"
