"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","332,07","1.044","+12","151","","47",""
"Stormarn","OD","322,37","784","+7","61","","35",""
"Segeberg","SE","225,70","623","+13","53","+1","7",""
"Kiel","KI","214,10","530","+11","83","+1","12",""
"Rendsburg-Eckernförde","RD","159,84","436","+15","57","","14",""
"Herzogtum Lauenburg","RZ","214,94","424","+12","53","","18",""
"Lübeck","HL","174,96","380","+7","16","","1",""
"Dithmarschen","HEI","229,71","306","+17","47","+5","5",""
"Steinburg","IZ","194,90","256","","27","+1","3",""
"Schleswig-Flensburg","SL","120,48","241","+4","22","","5",""
"Ostholstein","OH","111,68","224","","20","","0",""
"Neumünster","NMS","276,77","220","+5","14","","3",""
"Plön","PLO","142,25","183","+4","37","","8",""
"Nordfriesland","NF","106,34","176","","21","","2",""
"Flensburg","FL","179,88","161","+4","9","","3",""
"-"
"Schleswig-Holstein","SH","206,72","5.988","+111","671","+8","163",""

"Datenstand 20.10.2020 20:18:31"
