"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","73","79","6","0"
"05-09","73","67","1","0"
"10-14","110","104","5","0"
"15-19","219","226","5","0"
"20-24","359","340","10","0"
"25-29","373","302","19","0"
"30-34","305","351","16","0"
"35-39","279","297","23","0"
"40-44","302","215","15","0"
"45-49","314","225","19","0"
"50-54","358","328","23","1"
"55-59","323","282","38","0"
"60-64","234","219","40","3"
"65-69","130","152","42","5"
"70-74","149","167","78","12"
"75-79","186","165","85","22"
"80-84","344","217","158","46"
"85-89","307","137","102","39"
"90+","319","91","82","34"

"Datenstand 25.01.2021 21:01:41"
