"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","707","706","35","1"
"05-09","832","892","18","0"
"10-14","857","1.054","21","0"
"15-19","1.239","1.308","36","0"
"20-24","1.572","1.607","81","0"
"25-29","1.472","1.476","93","0"
"30-34","1.439","1.602","112","2"
"35-39","1.365","1.437","125","2"
"40-44","1.405","1.300","138","1"
"45-49","1.351","1.218","152","3"
"50-54","1.468","1.543","201","12"
"55-59","1.399","1.424","243","22"
"60-64","862","997","239","24"
"65-69","490","570","220","40"
"70-74","501","503","293","72"
"75-79","525","472","356","121"
"80-84","807","524","503","222"
"85-89","643","316","335","197"
"90+","678","194","234","212"

"Datenstand 04.07.2021 19:20:50"
