"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","473,61","1.489","+26","175","+1","48",""
"Stormarn","OD","456,01","1.109","+25","65","+1","40","+3"
"Segeberg","SE","361,19","997","+27","71","+2","14","+2"
"Kiel","KI","289,64","717","+27","103","+5","14","+1"
"Lübeck","HL","300,65","653","","23","","4","+1"
"Herzogtum Lauenburg","RZ","325,45","642","+17","58","+1","19",""
"Rendsburg-Eckernförde","RD","223,63","610","+19","68","","15",""
"Nordfriesland","NF","251,35","416","+49","28","","2",""
"Dithmarschen","HEI","311,54","415","+4","56","+3","11",""
"Schleswig-Flensburg","SL","191,48","383","+2","29","","6",""
"Ostholstein","OH","171,50","344","+14","24","","0",""
"Steinburg","IZ","234,49","308","+6","33","+2","3",""
"Neumünster","NMS","356,03","283","+6","15","","3",""
"Plön","PLO","181,89","234","+9","48","+4","8",""
"Flensburg","FL","258,09","231","+5","9","","3",""
"-"
"Schleswig-Holstein","SH","304,86","8.831","+236","805","+19","190","+7"

"Datenstand 03.11.2020 21:08:32"
