"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","147,59","464","+124","22","+5","3","+2"
"Segeberg","SE","144,91","400","+39","14","+3","5","+2"
"Stormarn","OD","122,12","297","+32","4","+1","1",""
"Lübeck","HL","118,33","257","+43","6","+1","0",""
"Herzogtum Lauenburg","RZ","121,16","239","+22","4","+3","0",""
"Kiel","KI","92,91","230","+52","16","+4","3",""
"Rendsburg-Eckernförde","RD","72,22","197","+35","18","+1","0",""
"Ostholstein","OH","93,23","187","+40","29","+5","0",""
"Schleswig-Flensburg","SL","81,99","164","+41","7","","1",""
"Flensburg","FL","128,49","115","+16","4","+1","1",""
"Nordfriesland","NF","64,05","106","+29","13","+3","1",""
"Steinburg","IZ","57,86","76","+18","1","","0",""
"Neumünster","NMS","88,06","70","+11","1","","0",""
"Dithmarschen","HEI","52,55","70","+10","9","+2","1","+1"
"Plön","PLO","45,08","58","+2","10","","1",""
"-"
"Schleswig-Holstein","SH","101,15","2.930","+514","158","+29","17","+5"

"Datenstand 08.01.2021 21:59:39"
