"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","322","358","18","1"
"05-09","328","432","5","0"
"10-14","392","454","12","0"
"15-19","663","696","19","0"
"20-24","968","970","31","0"
"25-29","923","914","44","0"
"30-34","876","975","52","1"
"35-39","774","853","69","0"
"40-44","885","752","66","0"
"45-49","851","720","71","2"
"50-54","953","962","104","3"
"55-59","922","891","119","11"
"60-64","561","633","130","17"
"65-69","331","384","140","29"
"70-74","348","362","192","55"
"75-79","398","362","241","90"
"80-84","685","441","397","183"
"85-89","581","272","258","172"
"90+","622","176","181","180"

"Datenstand 29.03.2021 19:32:32"
