"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.012","1.050","55","1"
"05-09","1.478","1.544","31","0"
"10-14","1.688","1.878","36","0"
"15-19","1.922","2.019","54","0"
"20-24","2.217","2.347","118","0"
"25-29","2.065","2.129","152","0"
"30-34","2.015","2.234","174","2"
"35-39","1.913","1.928","194","4"
"40-44","1.924","1.767","188","4"
"45-49","1.747","1.619","181","4"
"50-54","1.836","1.911","259","18"
"55-59","1.686","1.731","304","25"
"60-64","1.035","1.195","287","27"
"65-69","602","686","266","50"
"70-74","571","578","330","80"
"75-79","590","528","396","130"
"80-84","890","587","560","231"
"85-89","716","346","366","209"
"90+","753","211","256","222"

"Datenstand 16.10.2021 18:57:58"
