"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","190","204","12","0"
"05-09","184","223","3","0"
"10-14","242","273","9","0"
"15-19","459","454","14","0"
"20-24","686","677","24","0"
"25-29","674","640","30","0"
"30-34","610","673","40","0"
"35-39","553","585","45","0"
"40-44","613","479","42","0"
"45-49","639","489","45","1"
"50-54","700","674","73","3"
"55-59","688","624","89","9"
"60-64","430","453","102","10"
"65-69","250","300","113","24"
"70-74","260","288","149","44"
"75-79","348","306","209","76"
"80-84","616","384","333","151"
"85-89","540","242","216","147"
"90+","591","164","158","162"

"Datenstand 01.03.2021 20:18:16"
