"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","315","354","18","1"
"05-09","324","421","5","0"
"10-14","385","446","11","0"
"15-19","657","682","19","0"
"20-24","953","956","31","0"
"25-29","909","897","42","0"
"30-34","864","962","50","1"
"35-39","761","837","67","0"
"40-44","867","732","66","0"
"45-49","842","708","70","2"
"50-54","939","947","101","3"
"55-59","915","887","115","11"
"60-64","551","623","128","17"
"65-69","322","377","137","29"
"70-74","344","358","192","54"
"75-79","396","357","234","89"
"80-84","683","436","396","183"
"85-89","580","269","257","171"
"90+","621","176","180","180"

"Datenstand 27.03.2021 20:08:05"
