"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","823","805","44","1"
"05-09","1.081","1.137","24","0"
"10-14","1.207","1.396","26","0"
"15-19","1.573","1.618","45","0"
"20-24","1.873","1.936","95","0"
"25-29","1.707","1.718","106","0"
"30-34","1.641","1.793","128","2"
"35-39","1.578","1.618","147","2"
"40-44","1.611","1.462","162","1"
"45-49","1.484","1.368","163","3"
"50-54","1.590","1.674","221","15"
"55-59","1.482","1.530","262","23"
"60-64","918","1.064","251","25"
"65-69","524","611","239","42"
"70-74","515","519","298","75"
"75-79","535","485","367","121"
"80-84","823","539","514","224"
"85-89","657","323","344","198"
"90+","692","197","242","214"

"Datenstand 20.08.2021 18:35:39"
