"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","333,66","1.049","+65","75","+6","14","+1"
"Segeberg","SE","228,96","632","+33","20","","7",""
"Stormarn","OD","231,50","563","+39","42","+2","4",""
"Lübeck","HL","235,73","512","+25","20","+1","5",""
"Kiel","KI","170,47","422","+26","47","","10","+1"
"Herzogtum Lauenburg","RZ","212,91","420","+29","14","+1","9",""
"Nordfriesland","NF","222,35","368","+48","71","+8","2",""
"Ostholstein","OH","178,48","358","+32","53","+2","7",""
"Rendsburg-Eckernförde","RD","121,71","332","+24","29","","0",""
"Schleswig-Flensburg","SL","149,48","299","+9","14","","6",""
"Flensburg","FL","277,08","248","+9","10","","3",""
"Steinburg","IZ","143,89","189","+13","8","+4","1",""
"Neumünster","NMS","213,87","170","+12","7","","1",""
"Dithmarschen","HEI","121,61","162","+7","12","","1",""
"Plön","PLO","93,28","120","+4","25","+1","2",""
"-"
"Schleswig-Holstein","SH","201,75","5.844","+375","447","+25","72","+2"

"Datenstand 16.01.2021 20:10:39"
