"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","366","387","18","1"
"05-09","376","480","6","0"
"10-14","433","515","12","0"
"15-19","708","749","22","0"
"20-24","1.030","1.035","35","0"
"25-29","976","955","49","0"
"30-34","930","1.038","53","1"
"35-39","824","925","73","0"
"40-44","941","809","67","0"
"45-49","884","778","78","2"
"50-54","995","1.020","107","3"
"55-59","969","951","130","12"
"60-64","596","675","131","17"
"65-69","342","404","142","30"
"70-74","370","370","199","57"
"75-79","413","378","248","90"
"80-84","700","446","402","186"
"85-89","593","279","263","174"
"90+","628","176","182","181"

"Datenstand 02.04.2021 20:35:24"
