"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","379,46","1.193","+8","158","+1","47",""
"Stormarn","OD","356,09","866","","62","","35",""
"Segeberg","SE","258,67","714","+11","58","+2","7",""
"Kiel","KI","235,11","582","+4","89","+1","12",""
"Rendsburg-Eckernförde","RD","175,60","479","+4","63","+1","14",""
"Herzogtum Lauenburg","RZ","240,79","475","+2","54","","18",""
"Lübeck","HL","211,33","459","+49","18","+1","2",""
"Dithmarschen","HEI","261,99","349","+2","50","","8","+3"
"Schleswig-Flensburg","SL","145,98","292","+13","23","","5",""
"Steinburg","IZ","203,28","267","","28","","3",""
"Ostholstein","OH","130,12","261","+13","20","","0",""
"Neumünster","NMS","303,19","241","+3","15","","3",""
"Nordfriesland","NF","134,74","223","","23","","2",""
"Plön","PLO","150,80","194","","40","","8",""
"Flensburg","FL","203,34","182","+6","9","","3",""
"-"
"Schleswig-Holstein","SH","233,95","6.777","+115","710","+6","167","+3"

"Datenstand 25.10.2020 21:00:09"
