"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","49","39","4","0"
"05-09","40","33","1","0"
"10-14","63","66","4","0"
"15-19","139","140","3","0"
"20-24","238","223","5","0"
"25-29","234","195","13","0"
"30-34","174","223","9","0"
"35-39","168","200","13","0"
"40-44","175","135","5","0"
"45-49","185","139","11","0"
"50-54","226","210","13","0"
"55-59","199","177","22","0"
"60-64","151","129","24","0"
"65-69","81","98","20","1"
"70-74","91","102","43","2"
"75-79","111","118","54","13"
"80-84","201","129","86","23"
"85-89","168","82","48","16"
"90+","172","48","42","15"

"Datenstand 15.01.2021 20:14:17"
