"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","225","256","12","0"
"05-09","225","286","3","0"
"10-14","285","336","10","0"
"15-19","527","555","17","0"
"20-24","772","771","25","0"
"25-29","745","720","38","0"
"30-34","692","759","44","0"
"35-39","627","682","51","0"
"40-44","695","560","52","0"
"45-49","702","567","54","1"
"50-54","778","763","82","3"
"55-59","763","712","102","9"
"60-64","468","509","115","15"
"65-69","272","330","121","25"
"70-74","286","312","165","48"
"75-79","365","318","220","81"
"80-84","642","406","363","172"
"85-89","552","250","231","162"
"90+","607","172","174","174"

"Datenstand 11.03.2021 20:03:22"
