"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.015","1.051","55","1"
"05-09","1.492","1.550","32","0"
"10-14","1.699","1.883","36","0"
"15-19","1.930","2.022","54","0"
"20-24","2.224","2.352","119","0"
"25-29","2.078","2.136","152","0"
"30-34","2.021","2.241","174","2"
"35-39","1.927","1.941","195","4"
"40-44","1.931","1.776","188","4"
"45-49","1.755","1.627","182","4"
"50-54","1.850","1.923","260","18"
"55-59","1.693","1.735","304","25"
"60-64","1.041","1.197","287","27"
"65-69","605","691","267","50"
"70-74","574","581","331","81"
"75-79","597","530","397","130"
"80-84","898","594","561","231"
"85-89","730","348","366","209"
"90+","769","215","257","222"

"Datenstand 18.10.2021 19:05:17"
