"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","225,52","709","+123","47","+19","9","+4"
"Segeberg","SE","177,88","491","+33","16","+1","6","+1"
"Stormarn","OD","162,42","395","+35","17","+5","3",""
"Lübeck","HL","157,46","342","+15","15","+5","3","+1"
"Herzogtum Lauenburg","RZ","172,36","340","+42","11","+1","4","+4"
"Kiel","KI","122,80","304","+20","29","+3","5",""
"Rendsburg-Eckernförde","RD","98,25","268","+26","24","","0",""
"Ostholstein","OH","127,63","256","+19","36","+1","2",""
"Schleswig-Flensburg","SL","124,48","249","+13","11","+1","5","+2"
"Nordfriesland","NF","113,59","188","+24","36","+8","1",""
"Flensburg","FL","185,47","166","+21","5","+1","2","+1"
"Steinburg","IZ","96,69","127","+20","3","","1","+1"
"Dithmarschen","HEI","88,58","118","+8","9","","1",""
"Neumünster","NMS","114,48","91","+4","5","+2","0",""
"Plön","PLO","69,18","89","+19","19","+2","1",""
"-"
"Schleswig-Holstein","SH","142,68","4.133","+422","283","+49","43","+14"

"Datenstand 12.01.2021 20:12:06"
