"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.680,46","8.473","+39","793","+1","241",""
"Segeberg","SE","2.084,24","5.777","+23","455","+1","101",""
"Stormarn","OD","2.172,38","5.304","+37","464","+2","141","+1"
"Kiel","KI","2.110,67","5.209","+30","384","+1","67",""
"Herzogtum Lauenburg","RZ","2.265,94","4.487","","294","","79",""
"Lübeck","HL","2.052,83","4.445","+19","296","+1","75",""
"Rendsburg-Eckernförde","RD","1.268,16","3.476","+20","234","","43",""
"Ostholstein","OH","1.412,69","2.833","+18","262","","67",""
"Schleswig-Flensburg","SL","1.239,83","2.494","+9","107","+1","32",""
"Flensburg","FL","2.686,22","2.422","+12","126","+1","29",""
"Nordfriesland","NF","1.455,85","2.416","+9","254","","57",""
"Steinburg","IZ","1.580,00","2.070","+8","175","","28",""
"Neumünster","NMS","2.366,70","1.898","+6","127","","10",""
"Dithmarschen","HEI","1.277,84","1.702","+7","142","+1","23",""
"Plön","PLO","1.023,42","1.317","+8","148","","22",""
"-"
"Schleswig-Holstein","SH","1.870,77","54.323","+245","4.261","+9","1.015","+1"

"Datenstand 21.10.2021 19:49:57"
