"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","433,85","1.364","+60","170","+5","48",""
"Stormarn","OD","421,06","1.024","+28","64","+1","37","+1"
"Segeberg","SE","320,98","886","+24","65","+2","8",""
"Kiel","KI","261,77","648","+15","96","","12",""
"Herzogtum Lauenburg","RZ","296,05","584","+16","57","","19",""
"Lübeck","HL","259,21","563","+31","22","+1","2",""
"Rendsburg-Eckernförde","RD","203,46","555","+32","68","","15",""
"Dithmarschen","HEI","296,52","395","+8","53","","10",""
"Schleswig-Flensburg","SL","177,98","356","+18","28","+1","5",""
"Nordfriesland","NF","213,28","353","+52","27","+1","2",""
"Ostholstein","OH","154,55","310","+10","23","","0",""
"Steinburg","IZ","224,60","295","+5","30","","3",""
"Neumünster","NMS","329,61","262","+3","15","","3",""
"Plön","PLO","170,23","219","+2","41","","8",""
"Flensburg","FL","237,98","213","+9","9","","3",""
"-"
"Schleswig-Holstein","SH","277,11","8.027","+313","768","+11","175","+1"

"Datenstand 30.10.2020 20:03:55"
