"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","260","270","13","0"
"05-09","323","347","8","0"
"10-14","457","460","11","0"
"15-19","797","805","24","0"
"20-24","986","1.047","30","0"
"25-29","939","991","43","0"
"30-34","892","886","62","0"
"35-39","877","789","46","2"
"40-44","857","775","49","2"
"45-49","868","821","82","3"
"50-54","1.063","1.053","98","1"
"55-59","926","935","114","10"
"60-64","607","633","114","13"
"65-69","332","393","116","16"
"70-74","319","296","148","35"
"75-79","353","299","203","52"
"80-84","496","348","261","97"
"85-89","382","190","143","81"
"90+","438","112","111","82"

"Datenstand 28.12.2020 19:56:30"
