"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","281,81","886","+6","142","","47",""
"Stormarn","OD","272,21","662","+11","59","","35",""
"Segeberg","SE","173,89","480","+18","47","","7",""
"Kiel","KI","191,07","473","+2","80","","12",""
"Herzogtum Lauenburg","RZ","184,02","363","+2","51","","18",""
"Rendsburg-Eckernförde","RD","132,71","362","+1","51","","14",""
"Lübeck","HL","136,74","297","+2","14","","1",""
"Steinburg","IZ","172,82","227","","25","","3",""
"Dithmarschen","HEI","158,40","211","","31","","5",""
"Schleswig-Flensburg","SL","95,49","191","","21","","4",""
"Neumünster","NMS","213,87","170","+1","13","","3",""
"Plön","PLO","130,59","168","+1","36","","8",""
"Ostholstein","OH","70,79","142","","17","","0",""
"Nordfriesland","NF","85,19","141","+3","18","+1","2",""
"Flensburg","FL","139,66","125","+3","8","","3",""
"-"
"Schleswig-Holstein","SH","169,09","4.898","+50","613","+1","162",""

"Datenstand 02.10.2020 19:25:06"
