"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.964,55","6.210","+1","657","","223",""
"Segeberg","SE","1.558,58","4.320","+5","364","","93",""
"Stormarn","OD","1.583,41","3.866","+2","353","","127",""
"Herzogtum Lauenburg","RZ","1.733,17","3.432","+1","255","","73",""
"Lübeck","HL","1.466,77","3.176","+1","260","","74",""
"Kiel","KI","1.273,94","3.144","+1","270","","58",""
"Rendsburg-Eckernförde","RD","885,45","2.427","","204","","35",""
"Ostholstein","OH","1.124,97","2.256","+3","237","","67",""
"Schleswig-Flensburg","SL","987,29","1.986","","88","","31",""
"Nordfriesland","NF","1.091,29","1.811","+1","210","","54",""
"Flensburg","FL","1.964,20","1.771","","110","","29",""
"Steinburg","IZ","1.147,98","1.504","+1","141","","20",""
"Neumünster","NMS","1.440,22","1.155","","87","","9",""
"Dithmarschen","HEI","765,06","1.019","","91","","20",""
"Plön","PLO","631,77","813","+1","106","","18",""
"-"
"Schleswig-Holstein","SH","1.339,29","38.890","+17","3.433","","931",""

"Datenstand 02.07.2021 18:48:40"
