"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","727","734","41","1"
"05-09","883","929","20","0"
"10-14","910","1.088","23","0"
"15-19","1.345","1.387","40","0"
"20-24","1.678","1.737","85","0"
"25-29","1.544","1.564","96","0"
"30-34","1.483","1.663","118","2"
"35-39","1.409","1.484","131","2"
"40-44","1.455","1.331","142","1"
"45-49","1.385","1.262","156","3"
"50-54","1.498","1.582","207","14"
"55-59","1.429","1.454","245","22"
"60-64","885","1.017","242","25"
"65-69","502","581","226","42"
"70-74","502","506","294","75"
"75-79","526","473","357","121"
"80-84","814","530","509","224"
"85-89","650","318","339","198"
"90+","686","195","238","212"

"Datenstand 30.07.2021 18:38:44"
