"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","373","400","18","1"
"05-09","385","491","7","0"
"10-14","439","525","12","0"
"15-19","719","760","23","0"
"20-24","1.038","1.051","36","0"
"25-29","988","964","51","0"
"30-34","944","1.058","53","1"
"35-39","842","937","74","0"
"40-44","953","820","70","0"
"45-49","890","793","78","2"
"50-54","1.011","1.036","108","3"
"55-59","978","958","131","12"
"60-64","606","687","132","17"
"65-69","346","409","143","30"
"70-74","371","374","201","57"
"75-79","414","380","250","91"
"80-84","704","449","405","187"
"85-89","594","281","268","174"
"90+","631","176","182","181"

"Datenstand 04.04.2021 20:05:17"
