"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","931","949","51","1"
"05-09","1.290","1.351","26","0"
"10-14","1.443","1.647","29","0"
"15-19","1.770","1.863","51","0"
"20-24","2.059","2.169","104","0"
"25-29","1.906","1.953","131","0"
"30-34","1.844","2.038","156","2"
"35-39","1.743","1.766","167","3"
"40-44","1.786","1.620","177","4"
"45-49","1.616","1.505","174","4"
"50-54","1.707","1.777","238","16"
"55-59","1.570","1.622","279","25"
"60-64","968","1.132","265","25"
"65-69","556","635","248","45"
"70-74","534","535","309","77"
"75-79","554","506","378","124"
"80-84","853","558","532","228"
"85-89","678","334","351","201"
"90+","718","204","249","217"

"Datenstand 13.09.2021 18:50:38"
