"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","38","42","5","0"
"05-09","50","51","3","0"
"10-14","70","65","4","0"
"15-19","117","104","5","0"
"20-24","185","192","9","0"
"25-29","202","196","17","0"
"30-34","171","173","16","0"
"35-39","164","136","10","0"
"40-44","151","144","17","0"
"45-49","151","167","23","3"
"50-54","229","212","28","0"
"55-59","206","219","49","6"
"60-64","125","122","44","8"
"65-69","83","90","51","10"
"70-74","76","74","50","18"
"75-79","106","82","90","26"
"80-84","106","99","105","37"
"85-89","70","36","50","26"
"90+","72","21","28","27"

"Datenstand 24.09.2020 19:30:43"
