"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.014","1.050","55","1"
"05-09","1.484","1.547","31","0"
"10-14","1.692","1.879","36","0"
"15-19","1.922","2.019","54","0"
"20-24","2.221","2.349","118","0"
"25-29","2.066","2.132","152","0"
"30-34","2.016","2.236","174","2"
"35-39","1.915","1.931","194","4"
"40-44","1.924","1.769","188","4"
"45-49","1.747","1.620","181","4"
"50-54","1.837","1.914","259","18"
"55-59","1.686","1.732","304","25"
"60-64","1.036","1.195","287","27"
"65-69","604","687","267","50"
"70-74","571","579","331","80"
"75-79","590","528","396","130"
"80-84","890","587","560","231"
"85-89","716","346","366","209"
"90+","753","211","256","222"

"Datenstand 17.10.2021 18:58:34"
