"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","433","454","19","1"
"05-09","443","545","8","0"
"10-14","485","581","14","0"
"15-19","796","826","25","0"
"20-24","1.121","1.139","39","0"
"25-29","1.078","1.058","57","0"
"30-34","1.020","1.147","57","1"
"35-39","926","1.034","75","0"
"40-44","1.028","895","78","1"
"45-49","951","865","85","2"
"50-54","1.096","1.122","117","3"
"55-59","1.048","1.041","143","13"
"60-64","648","744","138","19"
"65-69","378","444","154","32"
"70-74","388","398","206","59"
"75-79","437","392","266","95"
"80-84","722","469","420","189"
"85-89","607","286","276","174"
"90+","643","180","188","186"

"Datenstand 11.04.2021 19:22:32"
