"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","267,82","842","+133","57","+10","10","+1"
"Segeberg","SE","189,11","522","+31","17","+1","7","+1"
"Stormarn","OD","181,34","441","+46","25","+8","3",""
"Lübeck","HL","176,34","383","+41","16","+1","3",""
"Herzogtum Lauenburg","RZ","182,50","360","+20","12","+1","5","+1"
"Kiel","KI","137,35","340","+36","37","+8","7","+2"
"Ostholstein","OH","141,59","284","+28","39","+3","4","+2"
"Rendsburg-Eckernförde","RD","100,82","275","+7","24","","0",""
"Schleswig-Flensburg","SL","132,98","266","+17","12","+1","5",""
"Nordfriesland","NF","134,13","222","+34","42","+6","1",""
"Flensburg","FL","205,58","184","+18","5","","2",""
"Steinburg","IZ","113,44","149","+22","3","","1",""
"Dithmarschen","HEI","98,34","131","+13","10","+1","1",""
"Neumünster","NMS","145,94","116","+25","5","","0",""
"Plön","PLO","79,29","102","+13","22","+3","1",""
"-"
"Schleswig-Holstein","SH","159,39","4.617","+484","326","+43","50","+7"

"Datenstand 13.01.2021 20:09:06"
