"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","224","237","13","0"
"05-09","294","317","8","0"
"10-14","407","409","10","0"
"15-19","677","691","19","0"
"20-24","829","883","27","0"
"25-29","772","854","40","0"
"30-34","753","741","56","0"
"35-39","730","681","37","2"
"40-44","711","661","45","2"
"45-49","714","711","74","3"
"50-54","872","899","82","0"
"55-59","750","786","106","8"
"60-64","492","510","103","11"
"65-69","268","303","95","13"
"70-74","273","248","133","32"
"75-79","291","242","171","44"
"80-84","367","267","216","78"
"85-89","257","128","113","64"
"90+","294","75","87","62"

"Datenstand 17.12.2020 20:18:29"
