"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","945,32","2.972","+28","301","","151",""
"Lübeck","HL","764,74","1.661","+20","194","+1","54",""
"Segeberg","SE","562,98","1.554","+22","73","","62",""
"Stormarn","OD","568,27","1.382","+29","161","+7","64","+5"
"Herzogtum Lauenburg","RZ","629,61","1.242","+31","91","+2","36","+2"
"Nordfriesland","NF","640,46","1.060","+5","154","","35",""
"Ostholstein","OH","509,52","1.022","+6","162","","49","+4"
"Flensburg","FL","1.134,03","1.015","+19","60","+3","22",""
"Schleswig-Flensburg","SL","497,94","996","+23","50","+2","16",""
"Kiel","KI","402,35","996","+23","104","-1","33",""
"Rendsburg-Eckernförde","RD","328,48","896","+24","91","","19","+3"
"Steinburg","IZ","374,58","492","+11","27","","3",""
"Neumünster","NMS","559,84","445","+6","40","","7",""
"Dithmarschen","HEI","261,99","349","+4","26","+2","7",""
"Plön","PLO","240,19","309","+13","55","+3","11","+2"
"-"
"Schleswig-Holstein","SH","565,85","16.391","+264","1.589","+19","569","+16"

"Datenstand 23.02.2021 22:10:50"
