"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.058","1.111","57","1"
"05-09","1.601","1.671","32","0"
"10-14","1.816","2.019","39","0"
"15-19","2.001","2.103","56","0"
"20-24","2.289","2.418","119","0"
"25-29","2.140","2.198","156","0"
"30-34","2.108","2.321","179","3"
"35-39","2.017","2.018","196","4"
"40-44","2.011","1.850","195","4"
"45-49","1.832","1.696","188","4"
"50-54","1.923","2.009","267","18"
"55-59","1.746","1.783","307","25"
"60-64","1.085","1.242","290","28"
"65-69","629","714","268","50"
"70-74","591","597","336","83"
"75-79","617","545","403","130"
"80-84","925","615","572","235"
"85-89","747","353","371","211"
"90+","783","217","265","225"

"Datenstand 26.10.2021 20:48:49"
