"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","312,99","984","+73","69","+5","13","+3"
"Segeberg","SE","217,00","599","+33","20","+2","7",""
"Stormarn","OD","215,46","524","+43","40","+8","4","+1"
"Lübeck","HL","224,22","487","+48","19","+2","5","+1"
"Kiel","KI","159,97","396","+28","47","+3","9","+1"
"Herzogtum Lauenburg","RZ","198,21","391","+14","13","+1","9",""
"Ostholstein","OH","162,53","326","+23","51","+5","7","+1"
"Nordfriesland","NF","193,35","320","+77","63","+9","2",""
"Rendsburg-Eckernförde","RD","112,91","308","+12","29","+1","0",""
"Schleswig-Flensburg","SL","144,98","290","+10","14","+1","6",""
"Flensburg","FL","267,03","239","+24","10","+2","3","+1"
"Steinburg","IZ","134,00","176","+12","4","+1","1",""
"Neumünster","NMS","198,77","158","+17","7","+2","1","+1"
"Dithmarschen","HEI","116,36","155","+7","12","","1",""
"Plön","PLO","90,17","116","+6","24","+2","2","+1"
"-"
"Schleswig-Holstein","SH","188,80","5.469","+427","422","+44","70","+10"

"Datenstand 15.01.2021 20:14:17"
