"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","682,27","2.145","+42","215","+2","49",""
"Stormarn","OD","662,43","1.611","+16","77","","48",""
"Segeberg","SE","519,87","1.435","","103","","31",""
"Kiel","KI","431,43","1.068","+29","132","+1","16",""
"Lübeck","HL","491,26","1.067","","44","","5",""
"Herzogtum Lauenburg","RZ","472,46","932","+15","70","+2","23","+1"
"Rendsburg-Eckernförde","RD","318,21","868","+11","86","","17",""
"Nordfriesland","NF","387,29","641","+5","49","","4",""
"Dithmarschen","HEI","415,13","553","+4","67","","14",""
"Ostholstein","OH","274,20","550","+7","37","+1","2",""
"Schleswig-Flensburg","SL","249,47","499","+2","37","","6",""
"Neumünster","NMS","520,84","414","+4","28","","5",""
"Steinburg","IZ","308,34","405","+9","37","","3",""
"Flensburg","FL","335,18","300","+3","12","","3",""
"Plön","PLO","232,42","299","+6","54","+1","8",""
"-"
"Schleswig-Holstein","SH","441,43","12.787","+153","1.048","+7","234","+1"

"Datenstand 21.11.2020 20:52:35"
